Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
1,34346,species,Wilson's Warbler,Cardellina pusilla,1,Pheasant Branch Conservancy--Creek Corridor,US-WI,07 Sep 2025,L6528252,S272021476,,1
2,34133,species,Chestnut-sided Warbler,Setophaga pensylvanica,2,Pheasant Branch Conservancy--Creek Corridor,US-WI,07 Sep 2025,L6528252,S272021476,,1
3,34083,species,Bay-breasted Warbler,Setophaga castanea,1,Pheasant Branch Conservancy--Creek Corridor,US-WI,07 Sep 2025,L6528252,S272021476,,1
4,34079,species,Magnolia Warbler,Setophaga magnolia,2,Pheasant Branch Conservancy--Creek Corridor,US-WI,07 Sep 2025,L6528252,S272021476,,1
5,33981,species,Nashville Warbler,Leiothlypis ruficapilla,2,Pheasant Branch Conservancy--Creek Corridor,US-WI,07 Sep 2025,L6528252,S272021476,,1
6,33972,species,Tennessee Warbler,Leiothlypis peregrina,5,Pheasant Branch Conservancy--Creek Corridor,US-WI,07 Sep 2025,L6528252,S272021476,,1
7,33962,species,Black-and-white Warbler,Mniotilta varia,2,Pheasant Branch Conservancy--Creek Corridor,US-WI,07 Sep 2025,L6528252,S272021476,,1
9,22160,species,Tufted Titmouse,Baeolophus bicolor,1,Pheasant Branch Conservancy--Creek Corridor,US-WI,07 Sep 2025,L6528252,S272021476,,1
10,17007,species,Eastern Phoebe,Sayornis phoebe,1,Pheasant Branch Conservancy--Creek Corridor,US-WI,06 Sep 2025,L6528252,S271884509,,1
11,34627,species,Dickcissel,Spiza americana,2,"5717 Wisconsin 19, Mazomanie, Wisconsin, US (43.169, -89.774)",US-WI,15 Jun 2025,L47655345,S250497831,,1
12,737,species,Black Scoter,Melanitta americana,3,Giddings Park,US-WI,16 Nov 2024,L19913208,S202728478,,1
13,728,species,Surf Scoter,Melanitta perspicillata,5,Giddings Park,US-WI,16 Nov 2024,L19913208,S202728478,,1
15,6192,species,Dunlin,Calidris alpina,1,Nine Springs Natural Area (MMSD Wildlife Observation Area),US-WI,16 Nov 2024,L199454,S202699472,,1
16,6104,species,Wilson's Snipe,Gallinago delicata,4,Nine Springs Natural Area (MMSD Wildlife Observation Area),US-WI,16 Nov 2024,L199454,S202699472,,1
